category,created_at,email_content,email_id,id,insights,items,merchant_name,processed,received_date,savings_suggestions,sender,source,subject,total_amount
Transport,2025-07-22 08:12:03.579087+00:00,"
                Thanks for riding with Uber!
                
                Trip Details:
                Date: 2025-07-21 23:42:59
                From: Home
                To: Downtown Office
                Distance: 5.2 miles
                Duration: 18 minutes
                
                Fare Breakdown:
                Base Fare:                        $2.50
                Distance:                         $8.75
                Time:                            $3.20
                Booking Fee:                      $2.55
                
                Total:                           $17.00
                Payment: Visa ****1234
                ",email-1a90000a-13f1-4c74-a2ae-4378c5e6e688,email-1a90000a-13f1-4c74-a2ae-4378c5e6e688,"['Spent $17.00 on an Uber trip from Home to Downtown Office.', 'Trip occurred late at night (11:42 PM) on July 21, 2025.']","[{'name': 'Base Fare', 'price': 2.5, 'quantity': 1}, {'name': 'Distance', 'price': 8.75, 'quantity': 1}, {'name': 'Time', 'price': 3.2, 'quantity': 1}, {'name': 'Booking Fee', 'price': 2.55, 'quantity': 1}]",Uber,True,2025-07-21 23:42:59.498065+00:00,"['Consider using Uber Pool or other shared ride options to reduce the fare.', 'If the trip is a regular commute, explore public transportation or carpooling for potential savings.']",receipts@uber.com,email,Trip Receipt,17.0
Shopping,2025-07-26 14:59:41.481908+00:00,"
                Your order has been shipped!
                
                Order #: 123-4567890-1234567
                Order Date: 2025-07-25 15:05:39
                
                Items Ordered:
                1. Wireless Bluetooth Headphones   $79.99
                2. Phone Case - Clear              $12.99
                3. USB Cable - 6ft                 $8.99
                
                Subtotal:                         $101.97
                Shipping:                          FREE
                Tax:                              $8.16
                Total:                           $110.13
                
                Expected Delivery: Tomorrow
                ",email-a4936a7d-4d52-4638-a0b0-ebc124170817,email-a4936a7d-4d52-4638-a0b0-ebc124170817,"['Purchased electronics accessories from Amazon.', 'Order placed in the afternoon.']","[{'name': 'Wireless Bluetooth Headphones', 'price': 79.99, 'quantity': 1}, {'name': 'Phone Case - Clear', 'price': 12.99, 'quantity': 1}, {'name': 'USB Cable - 6ft', 'price': 8.99, 'quantity': 1}]",Amazon,True,2025-07-25 15:05:39.899794+00:00,"['Compare prices of similar items on different platforms or wait for sales events to potentially save money on electronics.', 'Consider buying generic brand USB cables to save money.']",orders@amazon.com,email,Your Amazon Order Confirmation,110.13
Health,2025-07-26T23:54:29.240212,"
        Thanks for shopping with Best Buy!
        
        Order Details:
        Date: 2025-07-14T00:00:00
        
        Items Ordered:
        1. Vitamins   $15.99
        2. Protein Powder   $29.99
        
        Total: $45.98
        ",cdccecda-d059-4ae5-9c0c-75352ac4a65e,cdccecda-d059-4ae5-9c0c-75352ac4a65e,['Spent $45.98 on Health items from Best Buy.'],"[{'name': 'Vitamins', 'price': 15.99}, {'name': 'Protein Powder', 'price': 29.99}]",Best Buy,True,2025-07-14T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Best Buy@receipts.com,email,Order Confirmation,45.98
Utilities,2025-07-26T23:54:29.240433,"
        Thanks for shopping with Amazon!
        
        Order Details:
        Date: 2025-05-02T00:00:00
        
        Items Ordered:
        1. Electricity Bill   $100.0
        2. Water Bill   $50.0
        
        Total: $150.0
        ",f0480b5d-5cf0-4121-b9cc-c649d70c23e4,f0480b5d-5cf0-4121-b9cc-c649d70c23e4,['Spent $150.0 on Utilities items from Amazon.'],"[{'name': 'Electricity Bill', 'price': 100.0}, {'name': 'Water Bill', 'price': 50.0}]",Amazon,True,2025-05-02T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Amazon@receipts.com,email,Order Confirmation,150.0
Dining,2025-07-26T23:54:29.240486,"
        Thanks for shopping with Lyft!
        
        Order Details:
        Date: 2025-01-14T00:00:00
        
        Items Ordered:
        1. Dinner   $50.0
        2. Lunch   $30.0
        
        Total: $80.0
        ",14a8982b-8c59-49c1-bc9f-13353fbe9d79,14a8982b-8c59-49c1-bc9f-13353fbe9d79,['Spent $80.0 on Dining items from Lyft.'],"[{'name': 'Dinner', 'price': 50.0}, {'name': 'Lunch', 'price': 30.0}]",Lyft,True,2025-01-14T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Lyft@receipts.com,email,Order Confirmation,80.0
Utilities,2025-07-26T23:54:29.240534,"
        Thanks for shopping with Target!
        
        Order Details:
        Date: 2025-03-02T00:00:00
        
        Items Ordered:
        1. Electricity Bill   $100.0
        2. Water Bill   $50.0
        
        Total: $150.0
        ",e286c553-9aae-4eec-8532-10838732245d,e286c553-9aae-4eec-8532-10838732245d,['Spent $150.0 on Utilities items from Target.'],"[{'name': 'Electricity Bill', 'price': 100.0}, {'name': 'Water Bill', 'price': 50.0}]",Target,True,2025-03-02T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Target@receipts.com,email,Order Confirmation,150.0
Transport,2025-07-26T23:54:29.240578,"
        Thanks for shopping with Apple Store!
        
        Order Details:
        Date: 2025-06-14T00:00:00
        
        Items Ordered:
        1. Taxi Ride   $20.0
        2. Bus Pass   $30.0
        
        Total: $50.0
        ",fccefdd5-78bc-409f-9b97-872e558bed5d,fccefdd5-78bc-409f-9b97-872e558bed5d,['Spent $50.0 on Transport items from Apple Store.'],"[{'name': 'Taxi Ride', 'price': 20.0}, {'name': 'Bus Pass', 'price': 30.0}]",Apple Store,True,2025-06-14T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Apple Store@receipts.com,email,Order Confirmation,50.0
Food,2025-07-26T23:54:29.240612,"
        Thanks for shopping with Costco!
        
        Order Details:
        Date: 2025-02-18T00:00:00
        
        Items Ordered:
        1. Almond Milk   $3.99
        2. Organic Apples   $5.99
        
        Total: $9.98
        ",da753de3-c1e8-41e2-9498-6bfdd159176e,da753de3-c1e8-41e2-9498-6bfdd159176e,['Spent $9.98 on Food items from Costco.'],"[{'name': 'Almond Milk', 'price': 3.99}, {'name': 'Organic Apples', 'price': 5.99}]",Costco,True,2025-02-18T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Costco@receipts.com,email,Order Confirmation,9.98
Dining,2025-07-26T23:54:29.240646,"
        Thanks for shopping with Walmart!
        
        Order Details:
        Date: 2025-05-19T00:00:00
        
        Items Ordered:
        1. Dinner   $50.0
        2. Lunch   $30.0
        
        Total: $80.0
        ",25843010-677d-472d-9902-f0365c0c7f14,25843010-677d-472d-9902-f0365c0c7f14,['Spent $80.0 on Dining items from Walmart.'],"[{'name': 'Dinner', 'price': 50.0}, {'name': 'Lunch', 'price': 30.0}]",Walmart,True,2025-05-19T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Walmart@receipts.com,email,Order Confirmation,80.0
Food,2025-07-26T23:54:29.240682,"
        Thanks for shopping with Apple Store!
        
        Order Details:
        Date: 2025-01-12T00:00:00
        
        Items Ordered:
        1. Organic Apples   $5.99
        2. Almond Milk   $3.99
        
        Total: $9.98
        ",52b322a4-a342-4589-b43d-d99de1e34bd9,52b322a4-a342-4589-b43d-d99de1e34bd9,['Spent $9.98 on Food items from Apple Store.'],"[{'name': 'Organic Apples', 'price': 5.99}, {'name': 'Almond Milk', 'price': 3.99}]",Apple Store,True,2025-01-12T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Apple Store@receipts.com,email,Order Confirmation,9.98
Clothing,2025-07-26T23:54:29.240726,"
        Thanks for shopping with Walmart!
        
        Order Details:
        Date: 2025-07-03T00:00:00
        
        Items Ordered:
        1. T-Shirt   $19.99
        2. Jeans   $49.99
        
        Total: $69.98
        ",e6f8012e-4eb3-49d6-afc6-4623130a9f55,e6f8012e-4eb3-49d6-afc6-4623130a9f55,['Spent $69.98 on Clothing items from Walmart.'],"[{'name': 'T-Shirt', 'price': 19.99}, {'name': 'Jeans', 'price': 49.99}]",Walmart,True,2025-07-03T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Walmart@receipts.com,email,Order Confirmation,69.98
Shopping,2025-07-26T23:54:29.240762,"
        Thanks for shopping with Costco!
        
        Order Details:
        Date: 2025-01-21T00:00:00
        
        Items Ordered:
        1. Watch   $199.99
        2. Shoes   $89.99
        
        Total: $289.98
        ",44984b71-3732-4b4f-bcd4-33e3f162f058,44984b71-3732-4b4f-bcd4-33e3f162f058,['Spent $289.98 on Shopping items from Costco.'],"[{'name': 'Watch', 'price': 199.99}, {'name': 'Shoes', 'price': 89.99}]",Costco,True,2025-01-21T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Costco@receipts.com,email,Order Confirmation,289.98
Utilities,2025-07-26T23:54:29.240795,"
        Thanks for shopping with Walmart!
        
        Order Details:
        Date: 2025-03-04T00:00:00
        
        Items Ordered:
        1. Electricity Bill   $100.0
        2. Water Bill   $50.0
        
        Total: $150.0
        ",919b34d2-7178-4643-b54b-06c873e3b8be,919b34d2-7178-4643-b54b-06c873e3b8be,['Spent $150.0 on Utilities items from Walmart.'],"[{'name': 'Electricity Bill', 'price': 100.0}, {'name': 'Water Bill', 'price': 50.0}]",Walmart,True,2025-03-04T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Walmart@receipts.com,email,Order Confirmation,150.0
Shopping,2025-07-26T23:54:29.240825,"
        Thanks for shopping with Whole Foods!
        
        Order Details:
        Date: 2025-05-24T00:00:00
        
        Items Ordered:
        1. Shoes   $89.99
        2. Watch   $199.99
        
        Total: $289.98
        ",754b50b9-65b4-49b4-ae4c-96d57fdd7905,754b50b9-65b4-49b4-ae4c-96d57fdd7905,['Spent $289.98 on Shopping items from Whole Foods.'],"[{'name': 'Shoes', 'price': 89.99}, {'name': 'Watch', 'price': 199.99}]",Whole Foods,True,2025-05-24T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Whole Foods@receipts.com,email,Order Confirmation,289.98
Health,2025-07-26T23:54:29.240857,"
        Thanks for shopping with Amazon!
        
        Order Details:
        Date: 2025-06-05T00:00:00
        
        Items Ordered:
        1. Vitamins   $15.99
        2. Protein Powder   $29.99
        
        Total: $45.98
        ",74a9dedd-5dd3-4159-95a6-4abbe7a232ce,74a9dedd-5dd3-4159-95a6-4abbe7a232ce,['Spent $45.98 on Health items from Amazon.'],"[{'name': 'Vitamins', 'price': 15.99}, {'name': 'Protein Powder', 'price': 29.99}]",Amazon,True,2025-06-05T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Amazon@receipts.com,email,Order Confirmation,45.98
Health,2025-07-26T23:54:29.240887,"
        Thanks for shopping with Lyft!
        
        Order Details:
        Date: 2025-05-28T00:00:00
        
        Items Ordered:
        1. Vitamins   $15.99
        2. Protein Powder   $29.99
        
        Total: $45.98
        ",9b5308aa-f0dd-4a3a-b4a6-5324bf5f3b2d,9b5308aa-f0dd-4a3a-b4a6-5324bf5f3b2d,['Spent $45.98 on Health items from Lyft.'],"[{'name': 'Vitamins', 'price': 15.99}, {'name': 'Protein Powder', 'price': 29.99}]",Lyft,True,2025-05-28T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Lyft@receipts.com,email,Order Confirmation,45.98
Electronics,2025-07-26T23:54:29.240917,"
        Thanks for shopping with Apple Store!
        
        Order Details:
        Date: 2025-06-14T00:00:00
        
        Items Ordered:
        1. Smartphone   $699.99
        2. Bluetooth Headphones   $79.99
        
        Total: $779.98
        ",2e084f59-ea9e-4558-9a3c-6e49c47bdb8f,2e084f59-ea9e-4558-9a3c-6e49c47bdb8f,['Spent $779.98 on Electronics items from Apple Store.'],"[{'name': 'Smartphone', 'price': 699.99}, {'name': 'Bluetooth Headphones', 'price': 79.99}]",Apple Store,True,2025-06-14T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Apple Store@receipts.com,email,Order Confirmation,779.98
Health,2025-07-26T23:54:29.240949,"
        Thanks for shopping with Best Buy!
        
        Order Details:
        Date: 2025-03-16T00:00:00
        
        Items Ordered:
        1. Protein Powder   $29.99
        2. Vitamins   $15.99
        
        Total: $45.98
        ",7a0e4a8f-2467-408a-9433-408ad42eda0d,7a0e4a8f-2467-408a-9433-408ad42eda0d,['Spent $45.98 on Health items from Best Buy.'],"[{'name': 'Protein Powder', 'price': 29.99}, {'name': 'Vitamins', 'price': 15.99}]",Best Buy,True,2025-03-16T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Best Buy@receipts.com,email,Order Confirmation,45.98
